ID|Order Quantity|Sales|Ship Mode|Profit|Unit Price|Customer Name|Province|Customer Segment|Product Category|Product Sub-Category|Product Name
23|21|97.48|Regular Air|-5.77|4.71|Carlos Soltero|Nunavut|Consumer|Office Supplies|Rubber Bands|Plymouth Boxed Rubber Bands by Plymouth
24|33|511.83|Regular Air|-172.88|15.99|Carl Ludwig|Nunavut|Corporate|Office Supplies|Binders and Binder Accessories|"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
25|38|184.99|Regular Air|-144.55|4.89|Carl Ludwig|Nunavut|Corporate|Technology|Computer Peripherals|"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack"
26|30|80.9|Regular Air|5.76|2.88|Don Miller|Nunavut|Home Office|Office Supplies|Pens & Art Supplies|Newell 335
27|23|67.24|Regular Air|4.9|2.84|Annie Cyprus|Nunavut|Home Office|Office Supplies|Pens & Art Supplies|SANFORD Liquid Accent? Tank-Style Highlighters
28|25|12028.23|Delivery Truck|-547.61|449.99|Carl Ludwig|Nunavut|Corporate|Technology|Copiers and Fax|Canon PC940 Copier
29|28|370.48|Regular Air|-5.45|13.48|Carlos Soltero|Nunavut|Consumer|Office Supplies|Storage & Organization|Tenex Personal Project File with Scoop Front Design, Black
30|49|278|Regular Air|41.67|6.08|Grant Carroll|Nunavut|Small Business|Office Supplies|Pens & Art Supplies|Col-Erase? Pencils with Erasers
31|10|66.54|Regular Air|-46.03|5.98|Don Miller|Nunavut|Home Office|Technology|Computer Peripherals|"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack"
32|21|845.32|Regular Air|33.67|40.99|Don Miller|Nunavut|Home Office|Office Supplies|Paper|White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11
33|39|282.07|Regular Air|140.01|7.31|Alan Barnes|Nunavut|Corporate|Office Supplies|Labels|Self-Adhesive Address Labels for Typewriters by Universal
34|24|426.037|Regular Air|-78.96|20.99|Alan Barnes|Nunavut|Corporate|Technology|Telephones and Communication|Accessory37
35|27|1078.49|Regular Air|252.66|40.96|Jack Garza|Nunavut|Corporate|Technology|Computer Peripherals|Fuji 5.2GB DVD-RAM
36|39|3554.46|Delivery Truck|-1766.01|95.95|Julia West|Nunavut|Corporate|Furniture|Chairs & Chairmats|Bevis Steel Folding Chairs
37|47|191.67|Regular Air|-236.27|3.89|Eugene Barchas|Nunavut|Corporate|Office Supplies|Binders and Binder Accessories|Avery Binder Labels
38|49|5586.33|Delivery Truck|80.44|120.98|Eugene Barchas|Nunavut|Corporate|Furniture|Chairs & Chairmats|Hon Every-Day? Chair Series Swivel Task Chairs
39|18|507.64|Regular Air|118.94|30.98|Eugene Barchas|Nunavut|Corporate|Office Supplies|Paper|"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case"
40|30|14223.82|Delivery Truck|3424.22|500.98|Edward Hooks|Nunavut|Consumer|Furniture|Chairs & Chairmats|Global Troy? Executive Leather Low-Back Tilter
41|5|42.66|Regular Air|-11.83|7.84|Brad Eason|Nunavut|Small Business|Office Supplies|Binders and Binder Accessories|XtraLife? ClearVue? Slant-D? Ring Binders by Cardinal
42|21|427.32|Regular Air|52.35|18.97|Nicole Hansen|Nunavut|Small Business|Office Supplies|Paper|Computer Printout Paper with Letter-Trim Perforations
43|8|820.284|Regular Air|-180.2|115.99|Dorothy Wardle|Nunavut|Corporate|Technology|Telephones and Communication|6160
44|5|14.76|Regular Air|1.32|2.88|Aaron Bergman|Nunavut|Corporate|Office Supplies|Labels|Avery 49
45|9|89.55|Regular Air|-375.64|4.48|Jim Radford|Nunavut|Corporate|Office Supplies|Appliances|Hoover Portapower? Portable Vacuum
46|11|1210.0515|Regular Air|-104.25|125.99|Annie Cyprus|Nunavut|Home Office|Technology|Telephones and Communication|Timeport L7089
47|50|187.83|Regular Air|85.96|3.75|Annie Cyprus|Nunavut|Home Office|Office Supplies|Labels|Avery 510
48|3|49.59|Express Air|-8.38|12.28|Annie Cyprus|Nunavut|Home Office|Office Supplies|Paper|Xerox 1881
49|30|4253.009|Regular Air|1115.69|155.99|Annie Cyprus|Nunavut|Home Office|Technology|Telephones and Communication|LX 788
50|7|59.38|Regular Air|-3.05|8.69|Annie Cyprus|Nunavut|Home Office|Office Supplies|Binders and Binder Accessories|Cardinal Slant-D? Ring Binder, Heavy Gauge Vinyl
51|42|1285.37|Regular Air|514.07|31.78|Clay Rozendal|Nunavut|Corporate|Technology|Computer Peripherals|Memorex 4.7GB DVD-RAM, 3/Pack
52|11|48.91|Regular Air|-7.04|3.98|Don Jones|Nunavut|Corporate|Office Supplies|Paper|Unpadded Memo Slips
53|22|129.62|Regular Air|4.41|5.88|Beth Thompson|Nunavut|Corporate|Office Supplies|Paper|"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages"
54|12|118.97|Regular Air|-0.06|9.65|Frank Price|Nunavut|Corporate|Furniture|Office Furnishings|Eldon Expressions? Desk Accessory, Wood Pencil Holder, Oak
55|8|61.8715|Regular Air|-50.33|7.99|Michelle Lonsdale|Nunavut|Home Office|Technology|Telephones and Communication|Bell Sonecor JB700 Caller ID
56|7|384.33|Regular Air|87.68|58.1|Ann Chong|Nunavut|Corporate|Office Supplies|Binders and Binder Accessories|Avery Arch Ring Binders
57|3|239.03|Regular Air|-68.22|80.48|Ann Chong|Nunavut|Corporate|Office Supplies|Appliances|APC 7 Outlet Network SurgeArrest Surge Protector
58|44|3922.42|Regular Air|-354.9|92.23|Joy Bell|Nunavut|Home Office|Furniture|Office Furnishings|Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting
59|25|1733.3625|Regular Air|-267.01|85.99|Joy Bell|Nunavut|Home Office|Technology|Telephones and Communication|Accessory4
60|19|208.28|Regular Air|3.63|11.48|Skye Norling|Nunavut|Home Office|Office Supplies|Paper|Personal Creations? Ink Jet Cards and Labels
61|6|9620.82|Regular Air|-1759.58|1637.53|Barry Weirich|Nunavut|Corporate|Office Supplies|Scissors, Rulers and Trimmers|High Speed Automatic Electric Letter Opener
62|40|255.48|Regular Air|-116.79|6.48|Grant Carroll|Nunavut|Corporate|Office Supplies|Paper|Xerox 1966
63|18|130.32|Express Air|-67.28|6.48|Grant Carroll|Nunavut|Corporate|Office Supplies|Paper|Xerox 213
64|11|312.36|Express Air|-19.33|28.15|Adrian Hane|Nunavut|Corporate|Office Supplies|Pens & Art Supplies|Boston Electric Pencil Sharpener, Model 1818, Charcoal Black
65|41|217|Regular Air|-61.21|4.98|Skye Norling|Nunavut|Home Office|Office Supplies|Paper|Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)
66|47|296.13|Regular Air|119.09|6.35|Skye Norling|Nunavut|Home Office|Office Supplies|Paper|"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
67|40|436.17|Express Air|-141.27|10.9|Andrew Gjertsen|Nunavut|Consumer|Office Supplies|Storage & Organization|Crate-A-Files?
68|18|136.29|Regular Air|-77.28|7.3|Ralph Knight|Nunavut|Consumer|Office Supplies|Binders and Binder Accessories|Angle-D Binders with Locking Rings, Label Holders
69|32|1311.25|Express Air|407.44|39.48|Dorothy Wardle|Nunavut|Corporate|Technology|Computer Peripherals|80 Minute CD-R Spindle, 100/Pack - Staples
70|5|544.41|Delivery Truck|-338.27|100.98|Dorothy Wardle|Nunavut|Corporate|Furniture|Bookcases|Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled
71|41|844.09|Regular Air|52.56|19.98|Dorothy Wardle|Nunavut|Corporate|Furniture|Office Furnishings|12-1/2 Diameter Round Wall Clock
72|22|6396.2|Regular Air|1902.24|276.2|Grant Carroll|Nunavut|Corporate|Furniture|Chairs & Chairmats|SAFCO Arco Folding Chair
73|50|751.77|Regular Air|353.2|15.67|Barry Weirich|Nunavut|Corporate|Office Supplies|Envelopes|#10 White Business Envelopes,4 1/8 x 9 1/2
74|37|1003.06|Regular Air|271.78|25.98|Beth Paige|Nunavut|Consumer|Office Supplies|Appliances|3M Office Air Cleaner
75|4|1266.72|Delivery Truck|-268.36|300.98|Sylvia Foulston|Nunavut|Corporate|Furniture|Chairs & Chairmats|Global Leather and Oak Executive Chair, Black
76|19|368.04|Express Air|70.39|19.98|Nicole Hansen|Nunavut|Small Business|Office Supplies|Paper|Xerox 1936
77|24|152.6|Regular Air|-86.62|6.48|Nicole Hansen|Nunavut|Small Business|Office Supplies|Paper|Xerox 214
78|40|3338.98|Regular Air|-846.73|80.98|Nicole Hansen|Nunavut|Small Business|Office Supplies|Storage & Organization|Carina Double Wide Media Storage Towers in Natural & Black
79|5|24.16|Express Air|8.05|1.88|Beth Paige|Nunavut|Consumer|Office Supplies|Binders and Binder Accessories|Staples? General Use 3-Ring Binders
80|41|270.84|Express Air|-78.02|6.48|Beth Paige|Northwest Territories|Consumer|Office Supplies|Paper|Xerox 1904
81|35|3389.93|Express Air|737.94|102.3|Beth Paige|Northwest Territories|Consumer|Furniture|Office Furnishings|Luxo Professional Combination Clamp-On Lamps
82|42|266.36|Regular Air|-191.28|6.48|Beth Paige|Northwest Territories|Consumer|Office Supplies|Paper|Xerox 217
83|46|89.41|Regular Air|-21.49|1.89|Beth Paige|Northwest Territories|Consumer|Office Supplies|Rubber Bands|Revere Boxed Rubber Bands by Revere
84|47|2799.7|Regular Air|884.08|62.05|Sylvia Foulston|Northwest Territories|Corporate|Office Supplies|Appliances|Acco Smartsocket? Table Surge Protector, 6 Color-Coded Adapter Outlets
85|7|2039.56|Express Air|-329.49|279.48|Bryan Davis|Northwest Territories|Corporate|Office Supplies|Storage & Organization|Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units
86|36|12175.82|Delivery Truck|2825.15|320.98|Joy Bell|Northwest Territories|Home Office|Furniture|Chairs & Chairmats|Hon 4070 Series Pagoda? Round Back Stacking Chairs
87|5|101.21|Express Air|2.13|18.97|Joy Bell|Northwest Territories|Home Office|Office Supplies|Paper|Xerox 1887
88|32|1585.64|Regular Air|707.15|48.91|Joy Bell|Northwest Territories|Home Office|Office Supplies|Paper|Xerox 1891
89|44|176.26|Regular Air|75.13|4.13|Alan Barnes|Northwest Territories|Corporate|Office Supplies|Labels|Avery 506
90|32|4655.07|Delivery Truck|-270.63|140.98|Grant Carroll|Northwest Territories|Corporate|Furniture|Bookcases|Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order
91|44|10087.6|Regular Air|3387.35|218.08|Grant Carroll|Northwest Territories|Corporate|Furniture|Chairs & Chairmats|Lifetime Advantage? Folding Chairs, 4/Carton
92|34|1608.08|Express Air|-82.16|50.98|Grant Carroll|Northwest Territories|Corporate|Technology|Computer Peripherals|Microsoft Natural Multimedia Keyboard
93|1|12.18|Regular Air|-3.88|10.14|Delfina Latchford|Northwest Territories|Small Business|Office Supplies|Paper|"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack"
94|50|820.52|Regular Air|-191.22|15.99|Don Jones|Northwest Territories|Corporate|Office Supplies|Binders and Binder Accessories|"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
95|29|6250.936|Delivery Truck|31.21|262.11|Doug Bickford|Northwest Territories|Corporate|Furniture|Tables|Bevis Boat-Shaped Conference Table
96|25|854.88|Regular Air|-44.14|33.98|Doug Bickford|Northwest Territories|Corporate|Furniture|Office Furnishings|"Linden? 12"" Wall Clock With Oak Frame"
97|46|80.27|Regular Air|-0.79|1.76|Doug Bickford|Northwest Territories|Corporate|Office Supplies|Pens & Art Supplies|Newell 326
98|15|308.54|Express Air|76.42|19.84|Jamie Kunitz|Northwest Territories|Corporate|Office Supplies|Pens & Art Supplies|Prismacolor Color Pencil Set
99|20|400.57|Regular Air|93.36|19.98|Anthony Johnson|Northwest Territories|Small Business|Office Supplies|Paper|Xerox Blank Computer Paper
100|14|1170.025|Regular Air|4.22|95.99|Ralph Knight|Northwest Territories|Consumer|Technology|Telephones and Communication|600 Series Flip
101|48|5188.86|Regular Air|395.12|111.03|Allen Rosenblatt|Northwest Territories|Small Business|Office Supplies|Storage & Organization|Fellowes Recycled Storage Drawers
102|8|339.81|Regular Air|79.59|43.41|Barry Weirich|Northwest Territories|Corporate|Office Supplies|Binders and Binder Accessories|Satellite Sectional Post Binders
103|15|1519.9|Regular Air|399.37|105.34|Doug Bickford|Northwest Territories|Corporate|Furniture|Office Furnishings|Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting
104|30|102.24|Regular Air|37.79|3.69|Carl Jackson|Northwest Territories|Home Office|Office Supplies|Labels|Avery 487
105|6|965.69|Delivery Truck|-144.2|146.34|Brendan Dodson|Northwest Territories|Corporate|Furniture|Tables|Bevis Round Conference Table Top & Single Column Base
106|25|397.84|Regular Air|-14.75|15.22|Edward Hooks|Northwest Territories|Consumer|Office Supplies|Binders and Binder Accessories|"GBC Twin Loop? Wire Binding Elements, 9/16"" Spine, Black"
107|4|73.07|Regular Air|-41.01|15.7|Jamie Kunitz|Northwest Territories|Corporate|Office Supplies|Storage & Organization|Hanging Personal Folder File
108|26|4679.1|Delivery Truck|111.52|179.29|Jamie Kunitz|Northwest Territories|Corporate|Furniture|Tables|Bevis Round Conference Table Top, X-Base
109|46|8009.5925|Regular Air|2332.4|200.99|Michelle Lonsdale|Northwest Territories|Home Office|Technology|Telephones and Communication|5125
110|23|4689.66|Regular Air|2176.19|194.3|Michelle Lonsdale|Northwest Territories|Home Office|Furniture|Office Furnishings|Electrix Halogen Magnifier Lamp
111|25|3019.41|Regular Air|1269.05|120.97|Brendan Dodson|Northwest Territories|Corporate|Technology|Office Machines|Canon BP1200DH 12-Digit Bubble Jet Printing Calculator
112|5|36.86|Regular Air|-32.82|5.81|Hunter Glantz|Northwest Territories|Corporate|Office Supplies|Binders and Binder Accessories|Fellowes Black Plastic Comb Bindings
113|12|22079.47|Regular Air|5322.14|1938.02|Sylvia Foulston|Northwest Territories|Corporate|Technology|Office Machines|Polycom ViewStation? Adapter H323 Videoconferencing Unit
114|24|5407.31|Delivery Truck|1068.48|226.67|Eugene Barchas|Northwest Territories|Home Office|Furniture|Chairs & Chairmats|Hon GuestStacker Chair
115|34|74.3|Regular Air|-129.01|2.08|Jim Radford|Northwest Territories|Corporate|Furniture|Office Furnishings|Eldon? Wave Desk Accessories
116|44|21506.77|Regular Air|1260.51|499.99|Carlos Soltero|Northwest Territories|Small Business|Technology|Copiers and Fax|Sharp AL-1530CS Digital Copier
117|28|669.02|Delivery Truck|-1274.02|20.98|Carlos Soltero|Northwest Territories|Small Business|Office Supplies|Storage & Organization|Tennsco Lockers, Gray
118|40|1143.49|Regular Air|-193.44|30.53|Carlos Soltero|Northwest Territories|Small Business|Office Supplies|Labels|Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White
119|46|78.08|Regular Air|-43.1|1.68|Carlos Soltero|Northwest Territories|Small Business|Office Supplies|Pens & Art Supplies|Newell 323
120|19|5297.47|Delivery Truck|-158.93|270.98|Jim Radford|Northwest Territories|Corporate|Furniture|Chairs & Chairmats|Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
121|20|95.3|Regular Air|29.68|4.48|Jim Radford|Northwest Territories|Corporate|Office Supplies|Paper|Spiral Phone Message Books with Labels by Adams
122|40|460.68|Regular Air|-116.76|10.9|Grant Carroll|Northwest Territories|Small Business|Office Supplies|Storage & Organization|Crate-A-Files?
123|49|318.7585|Regular Air|-160.95|7.99|Grant Carroll|Northwest Territories|Small Business|Technology|Telephones and Communication|Bell Sonecor JB700 Caller ID
124|47|1020.61|Regular Air|-209.61|21.66|Skye Norling|Northwest Territories|Home Office|Office Supplies|Appliances|Holmes 99% HEPA Air Purifier
125|44|268.34|Regular Air|-240.83|6.48|Doug Bickford|Northwest Territories|Corporate|Office Supplies|Paper|Xerox 224
126|6|209|Regular Air|12.32|35.44|Grant Carroll|Northwest Territories|Small Business|Office Supplies|Paper|Xerox 1906
127|30|501.32|Regular Air|-119.08|15.99|Muhammed MacIntyre|Northwest Territories|Small Business|Office Supplies|Binders and Binder Accessories|"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
128|23|275.16|Express Air|43.35|11.34|Muhammed MacIntyre|Northwest Territories|Small Business|Office Supplies|Paper|Xerox 188
129|37|1302.99|Regular Air|545.49|35.44|Muhammed MacIntyre|Northwest Territories|Small Business|Office Supplies|Paper|Xerox 1932
130|1|40.1|Regular Air|-16.07|30.98|Doug Bickford|Northwest Territories|Small Business|Office Supplies|Binders and Binder Accessories|GBC Linen Binding Covers
131|42|1414.05|Regular Air|161.48|34.54|Doug Bickford|Northwest Territories|Small Business|Office Supplies|Binders and Binder Accessories|GBC Recycled Grain Textured Covers
132|34|5350.61|Delivery Truck|-1059.2|170.98|Beth Thompson|Northwest Territories|Corporate|Furniture|Bookcases|Sauder Facets Collection Library, Sky Alder Finish
133|15|310.87|Regular Air|-21.48|20.95|Ralph Knight|Northwest Territories|Consumer|Technology|Computer Peripherals|Fellowes Basic 104-Key Keyboard, Platinum
134|48|9062.73|Regular Air|3122.78|207.48|Carl Jackson|Northwest Territories|Home Office|Office Supplies|Appliances|Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection
135|27|1584.1|Delivery Truck|-478.22|58.14|Carl Jackson|Northwest Territories|Home Office|Furniture|Bookcases|O'Sullivan 3-Shelf Heavy-Duty Bookcases
136|42|283.58|Regular Air|-14.23|6.64|Dorothy Badders|Northwest Territories|Home Office|Furniture|Office Furnishings|G.E. Longer-Life Indoor Recessed Floodlight Bulbs
137|39|5403.37|Delivery Truck|948.79|145.45|Dorothy Badders|Northwest Territories|Home Office|Technology|Office Machines|Panasonic KX-P1150 Dot Matrix Printer
138|35|82.15|Regular Air|-6.33|2.21|Dorothy Badders|Northwest Territories|Home Office|Office Supplies|Pens & Art Supplies|Newell 327
139|50|2066.16|Regular Air|372.36|40.99|Delfina Latchford|Northwest Territories|Small Business|Office Supplies|Paper|Xerox 1893
140|18|4605.36|Delivery Truck|678.26|243.98|Julia West|Northwest Territories|Corporate|Furniture|Chairs & Chairmats|Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back
141|42|1753.51|Regular Air|155.72|39.98|Julia West|Northwest Territories|Corporate|Furniture|Office Furnishings|Eldon Radial Chair Mat for Low to Medium Pile Carpets
142|31|426.34|Regular Air|73.53|12.58|Brad Eason|Northwest Territories|Small Business|Furniture|Office Furnishings|DAX Copper Panel Document Frame, 5 x 7 Size
143|36|1837.44|Delivery Truck|-1414.41|48.58|Thomas Seio|Northwest Territories|Home Office|Furniture|Bookcases|O'Sullivan 2-Shelf Heavy-Duty Bookcases
144|36|3722.29|Express Air|950.68|105.98|Thomas Seio|Northwest Territories|Home Office|Furniture|Office Furnishings|"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped"
145|4|28.05|Regular Air|-5.41|7.04|Thomas Seio|Northwest Territories|Home Office|Office Supplies|Paper|"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page"
146|32|311.44|Regular Air|74.07|9.78|Monica Federle|Northwest Territories|Corporate|Technology|Computer Peripherals|Memorex Slim 80 Minute CD-R, 10/Pack
147|17|215.65|Express Air|77.38|12.22|Monica Federle|Northwest Territories|Corporate|Furniture|Office Furnishings|Aluminum Document Frame
148|3|121.12|Regular Air|-118.82|43.98|Michelle Lonsdale|Northwest Territories|Home Office|Technology|Computer Peripherals|Memorex 80 Minute CD-R Spindle, 100/Pack
149|8|300.2|Regular Air|6.41|34.76|Frank Price|Northwest Territories|Corporate|Office Supplies|Storage & Organization|Multi-Use Personal File Cart and Caster Set, Three Stacking Bins
150|29|1364.8025|Regular Air|-183.68|55.99|Frank Price|Northwest Territories|Corporate|Technology|Telephones and Communication|Accessory36
151|19|128.21|Regular Air|-55.13|6.48|Bryan Davis|Northwest Territories|Corporate|Office Supplies|Paper|Xerox 20
152|9|252.79|Regular Air|58.23|30.56|Don Jones|Northwest Territories|Corporate|Office Supplies|Binders and Binder Accessories|Surelock? Post Binders
153|10|50.97|Regular Air|4.45|5.16|Carlos Soltero|Northwest Territories|Small Business|Office Supplies|Pens & Art Supplies|Colorific? Watercolor Pencils
154|1|4.99|Regular Air|-3.06|3.68|Carlos Soltero|Northwest Territories|Small Business|Office Supplies|Scissors, Rulers and Trimmers|*Staples* vLetter Openers, 2/Pack
155|30|10554.63|Delivery Truck|1240.25|355.98|Nicole Hansen|Northwest Territories|Corporate|Furniture|Chairs & Chairmats|Hon 4700 Series Mobuis? Mid-Back Task Chairs with Adjustable Arms
156|8|1749.64|Delivery Truck|-533.23|218.75|Nicole Hansen|Northwest Territories|Corporate|Furniture|Tables|BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
157|47|1943.72|Regular Air|-1003.58|41.47|Beth Thompson|Northwest Territories|Corporate|Furniture|Office Furnishings|Eldon Econocleat? Chair Mats for Low Pile Carpets
158|6|18.37|Regular Air|-4.06|2.78|Beth Thompson|Northwest Territories|Corporate|Office Supplies|Pens & Art Supplies|Prang Drawing Pencil Set
159|49|6175.777|Express Air|1881.58|155.99|Beth Thompson|Northwest Territories|Corporate|Technology|Telephones and Communication|T39m
160|6|157.97|Regular Air|-42.38|22.84|Nicole Hansen|Northwest Territories|Small Business|Office Supplies|Paper|Xerox 1982
161|25|144.84|Regular Air|-120.99|5.78|Carlos Soltero|Northwest Territories|Consumer|Office Supplies|Paper|Xerox 1924
162|20|127.16|Regular Air|12.88|6.7|Carlos Soltero|Northwest Territories|Consumer|Office Supplies|Pens & Art Supplies|Turquoise Lead Holder with Pocket Clip
163|4|5472.12|Delivery Truck|-2816.34|1360.14|Dorothy Badders|Northwest Territories|Home Office|Technology|Office Machines|Okidata ML395C Color Dot Matrix Printer
164|7|1810.67|Delivery Truck|-541.87|270.98|Muhammed MacIntyre|Northwest Territories|Small Business|Furniture|Chairs & Chairmats|Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
165|31|633.56|Regular Air|-158.87|20.97|Muhammed MacIntyre|Northwest Territories|Small Business|Technology|Computer Peripherals|Microsoft Internet Keyboard
166|27|644.4|Regular Air|-97.28|22.84|Don Miller|Northwest Territories|Home Office|Office Supplies|Paper|Xerox 1982
167|7|1211.98|Delivery Truck|-80.83|180.98|Sylvia Foulston|Northwest Territories|Corporate|Furniture|Chairs & Chairmats|Global Ergonomic Managers Chair
168|27|3316.08|Delivery Truck|-514.32|130.98|Becky Castell|Northwest Territories|Consumer|Furniture|Chairs & Chairmats|Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum
169|48|207.08|Regular Air|-131.82|4.28|Dorothy Wardle|Northwest Territories|Corporate|Office Supplies|Paper|Xerox 1971
170|8|234.28|Regular Air|-65.42|28.28|Dorothy Wardle|Northwest Territories|Corporate|Office Supplies|Storage & Organization|Eldon Portable Mobile Manager
171|41|1779.8915|Regular Air|-250.17|55.99|Dorothy Wardle|Northwest Territories|Corporate|Technology|Telephones and Communication|Accessory6
172|30|114.12|Regular Air|15.73|3.8|Ann Chong|Northwest Territories|Corporate|Office Supplies|Binders and Binder Accessories|Durable Pressboard Binders
173|15|436.05|Regular Air|-92.58|30.73|Ann Chong|Northwest Territories|Corporate|Technology|Computer Peripherals|Fellowes 17-key keypad for PS/2 interface
174|49|5247.4835|Regular Air|1465.87|125.99|Ann Chong|Northwest Territories|Corporate|Technology|Telephones and Communication|StarTAC ST7762
175|9|173.417|Regular Air|18.23|20.99|Clay Rozendal|Northwest Territories|Corporate|Technology|Telephones and Communication|Accessory21
176|18|23792.93|Regular Air|10951.31|1270.99|Grant Carroll|Northwest Territories|Small Business|Office Supplies|Binders and Binder Accessories|Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind
177|21|256.12|Regular Air|-18.19|11.97|Brendan Dodson|Northwest Territories|Corporate|Office Supplies|Appliances|Staples 6 Outlet Surge
178|30|387|Express Air|-31.45|12.28|Carlos Daly|Northwest Territories|Home Office|Office Supplies|Storage & Organization|Recycled Eldon Regeneration Jumbo File
179|31|1143.45|Regular Air|304.42|39.24|Alan Barnes|Northwest Territories|Corporate|Technology|Computer Peripherals|Verbatim DVD-R 4.7GB authoring disc
